"","addressID","addressType","cityName","zipCode","coordinates_lat","coordinates_lon","municipality_name","date"
"1","0a3f50bf-18d1-32b8-e044-0003ba298018","villa","Vildbjerg",7480,56.189438,8.757156,"Herning",2011-01-14
"2","0a3f50a3-b0a1-32b8-e044-0003ba298018","terraced house","Hellerup",2900,55.740498,12.580199,"Gentofte",2008-01-10
"3","0a3f50c5-2a3f-32b8-e044-0003ba298018","villa","Kjellerup",8620,56.273426,9.31726,"Silkeborg",2006-12-12
"4","0a3f50b1-f6fa-32b8-e044-0003ba298018","villa","Nexø",3730,55.030617,15.091571,"Bornholm",2000-09-04
"5","0a3f50c2-7566-32b8-e044-0003ba298018","condo","Aarhus C",8000,56.150536,10.201634,"Aarhus",1996-12-29
"6","0a3f50be-ccbf-32b8-e044-0003ba298018","villa","Hjerm",7560,56.43644,8.636322,"Struer",2018-03-15
"7","0a3f50be-b1f6-32b8-e044-0003ba298018","villa apartment","Skjern",6900,55.95908,8.644279,"Ringkøbing-Skjern",2023-12-02
"8","0a3f50bd-b0e7-32b8-e044-0003ba298018","villa","Sunds",7451,56.234634,9.084811,"Herning",2002-01-28
"9","0a3f50b4-4f5d-32b8-e044-0003ba298018","villa apartment","Odense M",5230,55.387054,10.386196,"Odense",1998-05-26
"10","0a3f50bf-e88a-32b8-e044-0003ba298018","condo","Grenaa",8500,56.410538,10.909704,"Norddjurs",2001-05-22
"11","0a3f50c1-d62b-32b8-e044-0003ba298018","villa","Silkeborg",8600,56.196384,9.584717,"Silkeborg",1998-11-25
"12","0a3f50bc-efe8-32b8-e044-0003ba298018","terraced house","Vejle",7100,55.658066,9.50243,"Vejle",2018-02-21
"13","0a3f50ac-5a22-32b8-e044-0003ba298018","villa","Solrød Strand",2680,55.542377,12.23225,"Solrød",2015-03-12
"14","11f17ae3-b875-0668-e044-0003ba298018","condo","Frederiksberg",2000,55.680054,12.5304785,"Frederiksberg",2009-12-29
"15","0a3f50b9-dd22-32b8-e044-0003ba298018","villa","Ribe",6760,55.31284,8.745259,"Esbjerg",2009-02-20
"16","0a3f50cb-1d68-32b8-e044-0003ba298018","villa","Aars",9600,56.79478,9.516623,"Vesthimmerlands",2021-11-30
"17","0a3f50bf-cff3-32b8-e044-0003ba298018","terraced house","Grenaa",8500,56.41018,10.914886,"Norddjurs",1993-12-21
"18","0a3f50ac-985b-32b8-e044-0003ba298018","villa","Sejerø",4592,55.907085,11.115581,"Kalundborg",2000-01-09
"19","85be381e-ace2-4462-ac60-9ca007d9ce55","villa","Svenstrup J",9230,56.968113,9.820041,"Aalborg",2013-10-25
"20","0a3f50ac-bcb6-32b8-e044-0003ba298018","villa","Hørve",4534,55.763496,11.475489,"Odsherred",1997-04-23
"21","0a3f50be-005f-32b8-e044-0003ba298018","villa","Holstebro",7500,56.350864,8.623724,"Holstebro",2006-07-01
"22","0a3f50a3-aa52-32b8-e044-0003ba298018","villa","Hellerup",2900,55.73296,12.556528,"Gentofte",2021-06-16
"23","0a3f50a1-72be-32b8-e044-0003ba298018","condo","København S",2300,55.649284,12.609493,"København",2015-12-23
"24","0a3f50af-5d24-32b8-e044-0003ba298018","villa apartment","Store Merløse",4370,55.543747,11.710128,"Holbæk",2006-03-29
"25","b9ef1343-b5ab-41c6-bc3a-5bfd22f6d72c","terraced house","Hobro",9500,56.673847,9.850223,"Mariagerfjord",2021-04-15
"26","0a3f50a9-cc56-32b8-e044-0003ba298018","villa","Hillerød",3400,55.941643,12.285,"Hillerød",2016-05-13
"27","0a3f509d-11d5-32b8-e044-0003ba298018","condo","København N",2200,55.7056,12.550787,"København",2004-05-13
"28","0a3f50a3-5178-32b8-e044-0003ba298018","villa","Brøndby Strand",2660,55.62742,12.419571,"Brøndby",2021-01-06
"29","0a3f50ca-b8ac-32b8-e044-0003ba298018","condo","Aalborg",9000,57.030617,9.9650135,"Aalborg",2007-10-02
"30","0a3f50a7-fd36-32b8-e044-0003ba298018","villa","Birkerød",3460,55.858494,12.422518,"Rudersdal",2000-04-11
"31","0a3f50c8-dbc2-32b8-e044-0003ba298018","condo","Blokhus",9492,57.252693,9.578871,"Jammerbugt",2005-04-20
"32","0a3f50ac-fc3f-32b8-e044-0003ba298018","villa","Gørlev",4281,55.517048,11.206617,"Kalundborg",2021-12-08
"33","0a3f50c5-61c9-32b8-e044-0003ba298018","villa","Nykøbing M",7900,56.77871,8.667419,"Morsø",1996-05-07
"34","0a3f50ac-8ee0-32b8-e044-0003ba298018","villa","Snertinge",4460,55.71695,11.406969,"Kalundborg",2016-01-22
"35","0a3f50aa-562f-32b8-e044-0003ba298018","villa","Kokkedal",2980,55.91478,12.490049,"Fredensborg",2005-12-21
"36","0a3f50b7-6b02-32b8-e044-0003ba298018","villa","Rømø",6792,55.093548,8.552612,"Tønder",1994-01-25
"37","0a3f50a7-e4f2-32b8-e044-0003ba298018","villa","Birkerød",3460,55.84639,12.41425,"Rudersdal",2009-05-26
"38","0a3f50bf-5512-32b8-e044-0003ba298018","villa","Kibæk",6933,55.94014,8.94019,"Herning",2016-08-31
"39","0a3f50bc-1da1-32b8-e044-0003ba298018","terraced house","Kolding",6000,55.479324,9.499595,"Kolding",2012-08-30
"40","0a3f50ab-9416-32b8-e044-0003ba298018","villa","Køge",4600,55.494976,12.179144,"Køge",2013-12-12
"41","0a3f50a7-42d3-32b8-e044-0003ba298018","villa","Kastrup",2770,55.621235,12.591007,"Tårnby",2023-07-04
"42","0a3f50bf-e3f1-32b8-e044-0003ba298018","villa","Trustrup",8570,56.34802,10.768334,"Norddjurs",2018-11-09
"43","0a3f50b3-886a-32b8-e044-0003ba298018","condo","Odense C",5000,55.390884,10.395013,"Odense",2019-12-08
"44","0a3f50b7-d80a-32b8-e044-0003ba298018","villa","Bolderslev",6392,54.99444,9.295589,"Aabenraa",2018-05-07
"45","0a3f50c4-0aa7-32b8-e044-0003ba298018","condo","Aarhus C",8000,56.16195,10.200317,"Aarhus",1992-07-30
"46","0a3f50b0-5986-32b8-e044-0003ba298018","terraced house","Nysted",4880,54.66426,11.73558,"Guldborgsund",1992-05-05
"47","0a3f50c5-15aa-32b8-e044-0003ba298018","villa","Karup J",7470,56.343624,9.254658,"Viborg",2016-04-14
"48","0a3f50be-6430-32b8-e044-0003ba298018","villa","Bøvlingbjerg",7650,56.43458,8.238685,"Lemvig",2016-01-07
"49","0a3f50c5-067f-32b8-e044-0003ba298018","villa","Ulstrup",8860,56.391476,9.8122,"Favrskov",2008-08-12
"50","0a3f50b0-854d-32b8-e044-0003ba298018","terraced house","Næstved",4700,55.201366,11.765979,"Næstved",1995-03-09
"51","0a3f50bb-4e01-32b8-e044-0003ba298018","villa","Horsens",8700,55.843838,9.860986,"Horsens",1993-02-11
"52","0a3f50a6-957e-32b8-e044-0003ba298018","terraced house","Rødovre",2610,55.69353,12.444976,"Rødovre",2017-11-16
"53","0a3f509e-bb6b-32b8-e044-0003ba298018","condo","København Ø",2100,55.698532,12.58281,"København",2005-05-10
"54","0c65634c-d600-30a3-e044-0003ba298018","villa","Ringe",5750,55.243412,10.455457,"Faaborg-Midtfyn",2005-06-28
"55","a3e5f740-e83d-4cb1-b43c-3eba9d612288","villa","Bramming",6740,55.459873,8.705995,"Esbjerg",2015-08-17
"56","0a3f50a8-a813-32b8-e044-0003ba298018","holiday house","Liseleje",3360,56.010975,11.975073,"Halsnæs",2018-02-09
"57","0a3f50af-9406-32b8-e044-0003ba298018","villa","Næstved",4700,55.163795,11.846305,"Næstved",2005-05-16
"58","0a3f50c8-a2f5-32b8-e044-0003ba298018","villa","Løkken",9480,57.37234,9.715956,"Hjørring",2003-10-13
"59","0a3f50a1-a4e4-32b8-e044-0003ba298018","condo","København Ø",2100,55.70577,12.583746,"København",1994-02-14
"60","0a3f50c2-d841-32b8-e044-0003ba298018","terraced house","Risskov",8240,56.20547,10.211033,"Aarhus",1996-06-24
"61","0a3f50a4-1af6-32b8-e044-0003ba298018","condo","Hellerup",2900,55.741364,12.563837,"Gentofte",1995-07-26
"62","0a3f50b2-2411-32b8-e044-0003ba298018","villa","Rønne",3700,55.0674,14.809656,"Bornholm",2013-03-22
"63","0a3f50bd-6bf8-32b8-e044-0003ba298018","villa","Brande",7330,56.009644,9.112709,"Herning",2016-04-08
"64","0a3f50ad-8ebe-32b8-e044-0003ba298018","villa","Høng",4270,55.506958,11.283821,"Kalundborg",2016-03-22
"65","0a3f50ad-597c-32b8-e044-0003ba298018","villa","Holbæk",4300,55.71034,11.622275,"Holbæk",2003-08-28
"66","3e05ffdf-f4f3-4c19-8242-97bddc5b55f9","terraced house","København S",2300,55.636143,12.574927,"København",2019-03-21
"67","0a3f50c7-a0b8-32b8-e044-0003ba298018","holiday house","Hadsund",9560,56.74407,10.300758,"Mariagerfjord",2005-04-17
"68","0a3f50a9-e94b-32b8-e044-0003ba298018","villa","Hundested",3390,55.945915,11.860026,"Halsnæs",2011-02-23
"69","87e34d1d-94d2-4a8f-9064-41cc7b91bc8a","villa apartment","Lem St",6940,56.02635,8.389683,"Ringkøbing-Skjern",2002-08-16
"70","0a3f50c7-5306-32b8-e044-0003ba298018","villa","Frederikshavn",9900,57.43525,10.514773,"Frederikshavn",2024-04-29
